日期,臺南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,緯度,經度
2018/1/30,臺南市,安南區,溪墘里,住宅,52,1,9,9,18,1,0,1,2,1,6,3,23.0244424,120.1928448
2018/1/30,臺南市,安南區,公親里,住宅,51,0,1,44,45,0,0,0,0,0,0,0,23.0764154,120.1978952
2018/1/30,臺南市,安南區,長安里,住宅,50,1,4,28,32,0,2,2,4,1,6,3,23.0646352,120.1964522
2018/1/30,臺南市,安南區,安富里,住宅,50,2,7,21,28,0,3,3,6,2,11,4,23.0251806,120.1957308
2018/1/31,臺南市,安南區,公塭里,住宅,50,0,4,20,24,0,0,0,0,0,0,0,23.0702508,120.1632603
2018/1/31,臺南市,安南區,南興里,住宅,50,1,3,10,13,0,1,1,2,1,8,3,23.0743149,120.1502699
2018/1/31,臺南市,安南區,佃西里,住宅,50,3,0,71,71,0,5,5,10,3,7,3,23.0717267,120.1690334
2018/1/31,臺南市,安南區,佃東里,住宅,51,0,2,28,30,0,0,0,0,0,0,0,23.0724268,120.1849082
2018/2/1,臺南市,安南區,淵東里,住宅,50,0,2,18,20,0,0,0,0,0,0,0,23.0564843,120.1776926
2018/2/1,臺南市,安南區,溪心里,住宅,50,0,3,14,17,0,0,0,0,0,0,0,23.0509441,120.1849082
2018/2/1,臺南市,安南區,大安里,住宅,50,1,12,7,19,0,1,1,2,1,5,2,23.0313733,120.1950093
2018/2/1,臺南市,安南區,理想里,住宅,50,1,5,13,18,1,0,1,2,1,6,3,23.0368283,120.1914018
2018/2/1,臺南市,安南區,國安里,住宅,50,0,0,3,3,0,0,0,0,0,0,0,23.0236541,120.1805789
2018/2/1,臺南市,安南區,鹽田里,住宅,50,0,3,19,22,0,0,0,0,0,0,0,23.024592,120.152594
2018/2/2,臺南市,安南區,安慶里,住宅,75,0,7,11,18,0,0,0,0,0,0,0,23.0390892,120.2094381
2018/2/2,臺南市,安南區,安和里,住宅,75,0,10,14,24,0,0,0,0,0,0,0,23.0310818,120.218816
2018/1/29,臺南市,安平區,華平里,住宅,50,0,8,17,25,0,0,0,0,0,0,0,22.9948005,120.1740847
2018/1/29,臺南市,安平區,華平里,住宅,50,0,4,1,5,0,0,0,0,0,0,0,22.9948005,120.1740847
2018/1/30,臺南市,安平區,億載里,住宅,50,1,5,28,33,0,1,1,2,1,3,2,22.9902803,120.1603737
2018/1/30,臺南市,安平區,港仔里,住宅,50,1,6,23,29,0,1,1,2,1,3,2,22.999187,120.1643428
2018/1/30,臺南市,安平區,育平里,住宅,50,0,0,9,9,0,0,0,0,0,0,0,22.989074,120.1661469
2018/1/31,臺南市,安平區,石門里,住宅,50,0,16,6,22,0,0,0,0,0,0,0,23.0006394,120.1654252
2018/1/31,臺南市,安平區,建平里,住宅,50,0,6,19,25,0,0,0,0,0,0,0,22.9935103,120.1834651
2018/2/1,臺南市,安平區,漁光里,住宅,50,0,8,17,25,0,0,0,0,0,0,0,22.9801396,120.1574869
2018/2/1,臺南市,安平區,育平里,住宅,50,0,3,8,11,0,0,0,0,0,0,0,22.989074,120.1661469
2018/2/1,臺南市,安平區,金城里,住宅,50,0,4,10,14,0,0,0,0,0,0,0,22.9953785,120.1488264
2018/2/1,臺南市,安平區,怡平里,住宅,50,0,2,6,8,0,0,0,0,0,0,0,22.994197,120.176971
2018/2/2,臺南市,安平區,海頭里,住宅,50,1,18,21,39,0,1,1,2,1,3,2,23.0025857,120.1625386
2018/2/2,臺南市,安平區,平通里,住宅,50,1,5,17,22,0,1,1,2,1,5,2,22.9938422,120.1690334
2018/1/29,臺南市,仁德區,二行里,住宅,51,0,8,9,17,0,0,0,0,0,0,0,22.9212251,120.2209801
2018/1/29,臺南市,仁德區,大甲里,住宅,50,1,0,17,17,0,1,1,2,1,6,3,22.9225952,120.2079953
2018/1/30,臺南市,仁德區,保安里,住宅,50,0,2,2,4,0,0,0,0,0,0,0,22.9231415,120.2310784
2018/1/30,臺南市,仁德區,田厝里,住宅,53,5,1,29,30,0,5,5,9,2,17,5,22.9384788,120.241176
2018/1/31,臺南市,仁德區,上崙里,住宅,50,2,0,8,8,0,2,2,4,1,25,6,22.9385802,120.2599266
2018/1/31,臺南市,仁德區,新田里,住宅,51,0,1,9,10,0,0,0,0,0,0,0,22.9546843,120.2599266
2018/2/1,臺南市,仁德區,仁德里,住宅,50,1,3,25,28,0,1,1,2,1,4,2,22.9657583,120.2455033
2018/2/1,臺南市,仁德區,成功里,住宅,50,1,2,14,16,0,1,1,2,1,6,3,22.9404559,120.225308
2018/2/1,臺南市,仁德區,仁和里,住宅,50,0,4,15,19,0,0,0,0,0,0,0,22.9591394,120.224226
2018/2/1,臺南市,仁德區,仁愛里,住宅,50,0,0,5,5,0,0,0,0,0,0,0,22.9534423,120.2209801
2018/2/2,臺南市,仁德區,太子里,住宅,50,1,1,19,20,0,1,1,2,1,5,2,22.9912207,120.2584844
2018/2/2,臺南市,仁德區,土庫里,住宅,50,1,1,14,15,0,1,1,2,1,7,3,22.9856821,120.2656955
2018/2/1,臺南市,歸仁區,看東里,住宅,50,1,0,32,32,0,2,2,4,1,6,3,22.9545308,120.3118375
2018/1/29,臺南市,永康區,復國里,住宅,50,0,6,5,11,0,0,0,0,0,0,0,23.0059794,120.2473063
2018/1/29,臺南市,永康區,建國里,住宅,50,1,1,5,6,0,1,1,2,1,17,5,22.9978842,120.2491093
2018/1/29,臺南市,永康區,蔦松里,住宅,51,0,4,26,30,0,0,0,0,0,0,0,23.0455063,120.2555998
2018/1/29,臺南市,永康區,王行里,住宅,50,2,0,30,30,0,2,2,4,1,7,3,23.042301,120.2772325
2018/1/30,臺南市,永康區,崑山里,住宅,50,0,5,10,15,0,0,0,0,0,0,0,22.9988384,120.2541575
2018/1/30,臺南市,永康區,西灣里,住宅,50,0,3,14,17,0,0,0,0,0,0,0,23.0120871,120.2613689
2018/1/30,臺南市,永康區,六合里,住宅,52,1,10,28,38,0,1,1,2,1,3,2,23.0112118,120.2303571
2018/1/30,臺南市,永康區,安康里,住宅,50,0,13,13,26,0,0,0,0,0,0,0,23.0158435,120.227472
2018/1/31,臺南市,永康區,永康里,住宅,50,1,1,21,22,0,2,2,4,1,9,3,23.0234285,120.2584844
2018/1/31,臺南市,永康區,網寮里,住宅,50,1,6,11,17,0,1,1,2,1,6,3,23.0139035,120.2527152
2018/1/31,臺南市,永康區,東橋里,住宅,53,0,5,3,8,0,0,0,0,0,0,0,23.0243778,120.241176
2018/1/31,臺南市,永康區,大橋里,住宅,60,1,9,21,30,0,1,1,2,1,3,2,23.0187454,120.2296358
2018/2/1,臺南市,永康區,成功里,住宅,63,0,5,9,14,0,0,0,0,0,0,0,23.0032483,120.2379305
2018/2/1,臺南市,永康區,中興里,住宅,50,0,5,10,15,0,0,0,0,0,0,0,23.0061926,120.2382911
2018/2/1,臺南市,永康區,永康里,住宅,50,0,5,31,36,0,0,0,0,0,0,0,23.0234285,120.2584844
2018/2/1,臺南市,永康區,三合里,住宅,50,0,5,19,24,0,0,0,0,0,0,0,23.010739,120.2390123
2018/2/1,臺南市,永康區,西橋里,住宅,50,0,3,12,15,0,0,0,0,0,0,0,23.0134614,120.2260293
2018/2/1,臺南市,永康區,勝利里,住宅,50,0,0,4,4,0,0,0,0,0,0,0,23.004718,120.232521
2018/2/1,臺南市,永康區,中華里,住宅,50,0,1,3,4,0,0,0,0,0,0,0,23.0001126,120.2379557
2018/2/2,臺南市,永康區,正強里,住宅,75,1,5,17,22,0,1,1,1,1,5,2,23.0294884,120.251994
2018/2/2,臺南市,永康區,鹽行里,住宅,51,1,10,10,20,0,2,2,4,1,10,4,23.041356,120.2368389
2018/2/1,臺南市,新市區,港墘里,住宅,50,0,0,11,11,0,0,0,0,0,0,0,23.0791623,120.3060706
2018/2/1,臺南市,新市區,港墘里,住宅,50,0,0,9,9,0,0,0,0,0,0,0,23.0791623,120.3060706
2018/2/1,臺南市,新市區,大社里,住宅,50,0,0,5,5,0,0,0,0,0,0,0,23.0903938,120.3291365
2018/2/1,臺南市,新市區,大社里,住宅,50,0,0,3,3,0,0,0,0,0,0,0,23.0903938,120.3291365
2018/1/30,臺南市,官田區,隆田里,住宅,50,0,0,0,0,0,0,0,0,0,0,0,23.1894045,120.3176041
2018/2/1,臺南市,官田區,社子里,住宅,50,0,0,0,0,0,0,0,0,0,0,0,23.1775636,120.3608455
