日期,台南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,陽性容器戶內,陽性容器戶外,布氏指數,布氏級數,容器指數,容器級數,緯度,經度
2015/10/10,台南市,東　區,大福里,住宅,154,1,32,23,0,1,1,1,2,1,22.974,120.216
2015/10/11,台南市,中西區,仙草里,住宅,131,2,30,20,2,0,2,1,4,2,22.984,120.199
2015/10/11,台南市,中西區,仙草里,住宅,247,1,34,21,0,1,0,1,2,1,22.984,120.199
2015/10/11,台南市,永康區,安康里,住宅,210,3,52,49,1,2,1,1,3,2,23.016,120.227
2015/10/11,台南市,永康區,安康里,住宅,240,2,61,40,2,0,1,1,2,1,23.016,120.227
2015/10/11,台南市,北　區,勝安里,住宅,168,1,21,20,0,1,1,1,2,1,23.007,120.218
2015/10/11,台南市,北　區,勝安里,住宅,168,1,21,20,0,1,1,1,2,1,23.007,120.218
2015/10/12,台南市,北　區,文成里,住宅,228,1,21,30,0,1,0,1,2,1,23.007,120.197
2015/10/12,台南市,南　區,喜北里,住宅,327,2,108,93,1,1,1,1,1,1,22.949,120.178
2015/10/12,台南市,永康區,安康里,住宅,544,1,26,21,1,0,0,1,2,1,23.016,120.227
2015/10/12,台南市,永康區,勝利里,住宅,169,1,17,10,0,1,1,1,4,2,23.005,120.233
2015/10/12,台南市,中西區,水仙里,住宅,292,4,19,19,3,1,1,1,11,4,22.996,120.199
2015/10/12,台南市,東　區,泉南里,住宅,77,3,18,27,1,4,6,2,11,4,22.985,120.216
2015/10/12,台南市,東　區,泉南里,住宅,399,4,134,98,4,0,1,1,2,1,22.985,120.216
2015/10/12,台南市,東　區,裕農里,住宅,236,4,46,25,1,3,2,1,6,3,22.989,120.229
2015/10/12,台南市,南　區,喜南里,住宅,44,5,17,14,2,3,11,3,16,5,22.938,120.178
2015/10/12,台南市,南　區,興農里,住宅,45,4,10,7,1,3,9,2,24,6,22.93,120.192
2015/10/12,台南市,安平區,金城里,住宅,143,1,20,12,0,1,1,1,3,2,22.995,120.149
2015/10/12,台南市,中西區,開山里,住宅,220,1,16,8,1,0,0,1,4,2,22.988,120.21
2015/10/13,台南市,南　區,省躬里,住宅,23,1,5,16,0,1,4,1,5,2,22.934,120.186
2015/10/13,台南市,南　區,興農里,住宅,33,2,10,15,0,2,6,2,8,3,22.93,120.192
2015/10/13,台南市,永康區,五王里,住宅,623,5,119,98,4,2,1,1,3,2,23.012,120.235
2015/10/13,台南市,東　區,東聖里,住宅,474,4,108,55,4,0,1,1,2,1,22.986,120.235
2015/10/13,台南市,東　區,崇成里,住宅,112,1,17,21,0,2,2,1,5,2,22.971,120.229
2015/10/13,台南市,東　區,崇成里,住宅,34,1,6,8,0,2,6,2,14,4,22.971,120.229
2015/10/13,台南市,東　區,崇成里,住宅,112,1,17,21,0,2,2,1,5,2,22.971,120.229
2015/10/13,台南市,中西區,民權里,住宅,190,1,18,9,1,0,1,1,4,2,22.997,120.196
2015/10/13,台南市,中西區,民權里,住宅,211,1,18,10,1,0,0,1,4,2,22.997,120.196
2015/10/14,台南市,中西區,三合里,住宅,104,1,11,1,0,1,1,1,8,3,23,120.196
2015/10/14,台南市,東　區,大同里,住宅,466,4,130,36,3,2,1,1,3,2,22.984,120.213
2015/10/14,台南市,東　區,崇成里,住宅,329,2,71,40,0,2,1,1,2,1,22.971,120.229
2015/10/14,台南市,永康區,尚頂里,住宅,464,1,15,31,0,1,0,1,2,1,23.026,120.225
2015/10/14,台南市,南　區,明興里,住宅,98,1,35,14,1,0,1,1,2,1,22.963,120.191
2015/10/14,台南市,南　區,府南里,住宅,237,2,86,12,1,1,1,1,2,1,22.972,120.195
2015/10/15,台南市,南　區,南都里,住宅,327,1,44,4,0,1,0,1,2,1,22.955,120.184
2015/10/15,台南市,南　區,南都里,住宅,363,1,31,30,0,1,0,1,2,1,22.955,120.184
2015/10/15,台南市,南　區,建南里,住宅,60,2,16,13,1,1,3,1,7,3,22.957,120.196
2015/10/15,台南市,北　區,賢北里,住宅,158,1,18,14,0,1,1,1,3,2,23.007,120.181
2015/10/15,台南市,北　區,中樓里,住宅,150,1,4,5,1,0,1,1,11,4,23.003,120.216
2015/10/15,台南市,永康區,中華里,住宅,233,3,46,22,3,0,1,1,4,2,23,120.238
2015/10/15,台南市,安平區,國平里,住宅,202,1,37,27,1,0,0,1,2,1,22.979,120.168
2015/10/15,台南市,東　區,東聖里,住宅,50,1,1,4,0,1,2,1,20,5,22.986,120.235
2015/10/15,台南市,東　區,大福里,住宅,140,2,39,27,2,0,1,1,3,2,22.974,120.216
2015/10/15,台南市,東　區,泉南里,住宅,241,2,67,24,0,2,1,1,2,1,22.985,120.216
2015/10/15,台南市,東　區,後甲里,住宅,820,6,183,95,9,2,1,1,4,2,22.993,120.238
2015/10/16,台南市,北　區,元寶里,住宅,159,1,32,13,1,0,1,1,2,1,23.011,120.224
2015/10/16,台南市,中西區,永華里,住宅,41,1,1,3,0,1,2,1,25,6,22.991,120.204
2015/10/16,台南市,中西區,建國里,住宅,126,1,9,7,0,1,1,1,6,3,22.993,120.2
2015/10/16,台南市,中西區,安海里,住宅,83,1,3,1,2,0,2,1,50,9,22.996,120.192
2015/10/16,台南市,永康區,復華里,住宅,268,5,68,42,0,5,2,1,5,2,23.01,120.244
2015/10/16,台南市,永康區,復華里,住宅,162,2,37,23,0,2,1,1,3,2,23.01,120.244
2015/10/16,台南市,東　區,忠孝里,住宅,309,2,52,36,0,2,1,1,2,1,22.977,120.219
2015/10/16,台南市,南　區,大恩里,住宅,333,2,96,90,2,0,1,1,1,1,22.955,120.208
2015/10/16,台南市,北　區,重興里,住宅,250,4,43,23,4,0,2,1,6,3,23.004,120.226
2015/10/16,台南市,永康區,復華里,住宅,268,5,68,42,0,5,2,1,5,2,23.01,120.244
2015/10/16,台南市,永康區,復華里,住宅,162,2,37,23,0,2,1,1,3,2,23.01,120.244
2015/10/17,台南市,南　區,建南里,住宅,238,3,89,45,3,0,1,1,2,1,22.957,120.196
2015/10/17,台南市,東　區,仁和里,住宅,108,1,36,19,0,1,1,1,2,1,22.97,120.236
2015/10/17,台南市,東　區,和平里,住宅,431,3,187,101,2,1,1,1,1,1,22.975,120.235
2015/10/17,台南市,東　區,泉南里,住宅,303,1,46,8,1,0,0,1,2,1,22.985,120.216
2015/10/18,台南市,中西區,仙草里,住宅,248,1,51,14,3,0,1,1,5,2,22.984,120.199
2015/10/18,台南市,南　區,光明里,住宅,132,2,55,12,0,2,2,1,3,2,22.972,120.187
2015/10/18,台南市,南　區,建南里,住宅,108,1,8,11,1,0,1,1,5,2,22.957,120.196
